anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2015,2–4,60–90,10+,2.54,Champions of Midgard,Adventure|#|Dice|#|Fantasy|#|Fighting|#|Medieval,Dice Rolling|#|Set Collection|#|Worker Placement,Vikings,7626,2309,1.14
2012,2–4,45,12+,2.40,Trains,Card Game|#|Territory Building|#|Trains,Deck / Pool Building|#|Hand Management|#|Route/Network Building,AEG: Big in Japan|#|AEG: Destination Fun,7270,5534,1.25
2006,2–4,60,13+,2.26,Thurn and Taxis,Renaissance|#|Transportation,Card Drafting|#|Hand Management|#|Route/Network Building|#|Set Collection,Country: Germany|#|Thurn and Taxis,7133,14779,1.17
2013,2,30,13+,2.57,The Duke,Abstract Strategy|#|Medieval,Grid Movement|#|Tile Placement,Crowdfunding: Kickstarter|#|The Duke|#|Mensa Select,7598,2431,1.22
2014,2–4,45–60,10+,2.12,San Juan (second edition),Card Game|#|City Building|#|Economic,Hand Management|#|Set Collection|#|Variable Phase Order,Alea Medium Box|#|Colonial Theme|#|Country: Puerto Rico|#|Puerto Rico|#|Tableau Building,7682,1986,1.05
2012,1–5,30–90,10+,3.00,Snowdonia,Trains,Card Drafting|#|Hand Management|#|Worker Placement,Country: Wales|#|Crowdfunding: Kickstarter|#|Snowdonia|#|Solitaire Games,7463,3015,1.25
2011,2–4,75,14+,3.06,Star Trek: Fleet Captains,Miniatures|#|Movies / TV / Radio theme|#|Science Fiction|#|Space Exploration,Action Point Allowance System|#|Dice Rolling|#|Modular Board|#|Tile Placement,Clix|#|Star Trek,7591,2636,1.50
1999,4–18,90,12+,1.22,Time's Up!,Humor|#|Party Game,Acting|#|Memory|#|Partnerships,Mensa Select|#|Time's Up!,7370,378,1.62
1999,2,30–60,9+,2.72,ZÈRTZ,Abstract Strategy,Grid Movement|#|Set Collection,Combinatorial|#|GIPF Project|#|Marble Games|#|Mensa Select,7307,3179,1.33
2011,1–5,45,12+,2.70,Thunderstone: Dragonspire,Card Game|#|Fantasy,Card Drafting|#|Deck / Pool Building|#|Hand Management,Solitaire Games|#|Thunderstone,7420,2382,1.47
2004,2,45,12+,2.07,Jambo,Card Game|#|Economic,Action Point Allowance System|#|Hand Management|#|Set Collection,Continent: Africa|#|Country: Kenya|#|Country: Tanzania|#|Jambo|#|Kosmos two-player series,7068,7191,1.21
2004,2–5,90,12+,3.20,Maharaja: The Game of Palace Building in India,City Building,Area Control / Area Influence|#|Point to Point Movement|#|Route/Network Building|#|Simultaneous Action Selection|#|Variable Player Powers,Asian Theme|#|Country: India,7175,4419,1.29
